Date,Price
2020-08,2009.5
2020-09,1922.7
2020-10,1908.3
2020-11,1797.2
2020-12,1914.0
2021-01,1859.5
2021-02,1740.9
2021-03,1722.4
2021-04,1775.7
2021-05,1911.0
2021-06,1777.7
2021-07,1819.1
2021-08,1820.1
2021-09,1758.5
2021-10,1785.9
2021-11,1776.5
2021-12,1779.35
